pincode,category,zone,state,city,is_serviceable
370490,Large,WEST,GUJARAT,BHUJ,1
143504,Large,NORTH,PUNJAB,AMRITSAR,1
490001,Large,EAST,CHHATTISGARH,BHILAI,1
490020,Large,EAST,CHHATTISGARH,BHILAI,1
490024,Large,EAST,CHHATTISGARH,BHILAI,1
583127,Large,SOUTH,KARNATAKA,DAVANGERE,1
123305,Large,NORTH,HARYANA,JHAJJAR,1
362720,Large,WEST,GUJARAT,VERAVAL,1
394250,Large,west,GUJARAT,SURAT,1
209306,Large,NORTH,UTTAR PRADESH,AURAIYA,1
209310,Large,NORTH,UTTAR PRADESH,AURAIYA,1
209125,Large,NORTH,UTTAR PRADESH,AURAIYA,1
209302,Large,NORTH,UTTAR PRADESH,AURAIYA,1
221716,Large,NORTH,UTTAR PRADESH,VARANASI,1
277209,Large,NORTH,UTTAR PRADESH,VARANASI,1
221701,Large,NORTH,UTTAR PRADESH,GHAZIPUR,1
221712,Large,NORTH,UTTAR PRADESH,GHAZIPUR,1
277502,Large,NORTH,UTTAR PRADESH,GHAZIPUR,1
509135,Large,SOUTH,TELANGANA,GADWAL,1
272199,Large,NORTH,UTTAR PRADESH,BANSI,1
272125,Large,NORTH,UTTAR PRADESH,BANSI,1
272126,Large,NORTH,UTTAR PRADESH,BANSI,1
209867,Large,NORTH,UTTAR PRADESH,SANDILA,1
209866,Large,NORTH,UTTAR PRADESH,SANDILA,1
221303,Large,NORTH,UTTAR PRADESH,MIRZAPUR,1
221304,Large,NORTH,UTTAR PRADESH,MIRZAPUR,1
221314,Large,NORTH,UTTAR PRADESH,MIRZAPUR,1
221310,Large,NORTH,UTTAR PRADESH,MIRZAPUR,1
211013,Large,NORTH,UTTAR PRADESH,PRYAGRAJ,1
212109,Large,NORTH,UTTAR PRADESH,PRYAGRAJ,1
230202,Large,NORTH,UTTAR PRADESH,PRATAPGARHUP,1
230204,Large,NORTH,UTTAR PRADESH,PRATAPGARHUP,1
230201,Large,NORTH,UTTAR PRADESH,PRATAPGARHUP,1
229202,Large,NORTH,UTTAR PRADESH,RAEBARELI,1
229802,Large,NORTH,UTTAR PRADESH,RAEBARELI,1
229126,Large,NORTH,UTTAR PRADESH,RAEBARELI,1
232118,Large,NORTH,UTTAR PRADESH,VARANASI,1
231305,Large,NORTH,UTTAR PRADESH,VARANASI,1
231302,Large,NORTH,UTTAR PRADESH,VARANASI,1
231301,Large,NORTH,UTTAR PRADESH,VARANASI,1
382463,Large,WEST,GUJARAT,AHMEDABAD,1
380152,Large,WEST,GUJARAT,AHMEDABAD,1
382265,Large,WEST,GUJARAT,AHMEDABAD,1
363425,Large,WEST,GUJARAT,SURENDRANAGAR,1
566668,Large,SOUTH,KARNATAKA,BANGALORE,1
565657,Large,SOUTH,KARNATAKA,BANGALORE,1
565658,Large,SOUTH,KARNATAKA,BANGALORE,1
560999,Large,SOUTH,KARNATAKA,BANGALORE,1
560117,Large,SOUTH,KARNATAKA,BANGALORE,1
560115,Large,SOUTH,KARNATAKA,BANGALORE,1
560500,Large,SOUTH,KARNATAKA,BANGALORE,1
569999,Large,SOUTH,KARNATAKA,BANGALORE,1
583204,Large,SOUTH,KARNATAKA,BANGALORE,1
560116,Large,SOUTH,KARNATAKA,BANGALORE,1
562145,Large,SOUTH,KARNATAKA,BANGALORE,1
562201,Large,SOUTH,KARNATAKA,BANGALORE,1
600131,Large,SOUTH,TAMIL NADU,CHENNAI,1
631201,Large,SOUTH,TAMIL NADU,CHENNAI,1
631212,Large,SOUTH,TAMIL NADU,CHENGALPATTU,1
602107,Large,SOUTH,TAMIL NADU,CHENNAI,1
602022,Large,SOUTH,TAMIL NADU,CHENNAI,1
602027,Large,SOUTH,TAMIL NADU,CHENNAI,1
603202,Large,SOUTH,TAMIL NADU,CHENNAI,1
602102,Large,SOUTH,TAMIL NADU,CHENNAI,1
600124,Large,SOUTH,TAMIL NADU,CHENNAI,1
600100,Large,SOUTH,TAMIL NADU,CHENNAI,1
600118,Large,South,TAMIL NADU,CHENNAI,1
600126,Large,SOUTH,TAMIL NADU,CHENNAI,1
600127,Large,SOUTH,TAMIL NADU,CHENNAI,1
600073,Large,SOUTH,TAMIL NADU,CHENNAI,1
600052,Large,SOUTH,TAMIL NADU,CHENNAI,1
600063,Large,SOUTH,TAMIL NADU,CHENNAI,1
600059,Large,SOUTH,TAMIL NADU,CHENNAI,1
600048,Large,SOUTH,TAMIL NADU,CHENNAI,1
600046,Large,SOUTH,TAMIL NADU,CHENNAI,1
571501,Large,SOUTH,KARNATAKA,MANDYA,1
571450,Large,South,KARNATAKA,MANDYA,1
571422,Large,SOUTH,KARNATAKA,MANDYA,1
571419,Large,SOUTH,KARNATAKA,MANDYA,1
571433,Large,SOUTH,KARNATAKA,MANDYA,1
571428,Large,SOUTH,KARNATAKA,MANDYA,1
571476,Large,SOUTH,KARNATAKA,MANDYA,1
571807,Large,South,KARNATAKA,MANDYA,1
571812,Large,South,KARNATAKA,MANDYA,1
571401,Large,South,KARNATAKA,MANDYA,1
571402,Large,South,KARNATAKA,MANDYA,1
571403,Large,South,KARNATAKA,MANDYA,1
571404,Large,South,KARNATAKA,MANDYA,1
571405,Large,South,KARNATAKA,MANDYA,1
571416,Large,South,KARNATAKA,MANDYA,1
571418,Large,South,KARNATAKA,MANDYA,1
571417,Large,South,KARNATAKA,MANDYA,1
571421,Large,South,KARNATAKA,MANDYA,1
571423,Large,South,KARNATAKA,MANDYA,1
571427,Large,South,KARNATAKA,MANDYA,1
571426,Large,South,KARNATAKA,MANDYA,1
571425,Large,South,KARNATAKA,MANDYA,1
571424,Large,South,KARNATAKA,MANDYA,1
571432,Large,South,KARNATAKA,MANDYA,1
571431,Large,South,KARNATAKA,MANDYA,1
571430,Large,South,KARNATAKA,MANDYA,1
571429,Large,South,KARNATAKA,MANDYA,1
571448,Large,South,KARNATAKA,MANDYA,1
